PowerOn,Idle,Sensor,Idle,Wifi,Transmission,Wifi,Idle
1153317,1153754,1177775,1177960,1370128,1370355,1375624,1375785
2550249,2550662,2574683,2574868,2757903,2758100,2763540,2763701
5867527,5867980,5891998,5892183,6074989,6075238,6080620,6080781
5867657,5868110,5892129,5892314,6075985,6076234,6081616,6081777
5867861,5868314,5892320,5892498,6075985,6076234,6081616,6081777
5868010,5868360,5892375,5892576,6075985,6076234,6081616,6081777
5870564,5871017,5895021,5895201,6078687,6078937,6084318,6084479
5870618,5871063,5895025,5895204,6078709,6078958,6084340,6084501
21736137,21736592,21760613,21760800,21944039,21944211,21949720,21949883
23130732,23131187,23155208,23155395,23339052,23339251,23344689,23344852
31670253,31670698,31694718,31694905,31877762,31877875,31883552,31883715
30255001,30255416,30279439,30279625,30462473,30462587,30468264,30468427
30266888,30267281,30291285,30291452,30474745,30474859,30480536,30480699
31657758,31658115,31682113,31682280,31865575,31865688,31871364,31871527
130501979,130502435,130526457,130526646,130710163,130710277,130715952,130716116
131897711,131898124,131922147,131922336,132105383,132105579,132111020,132111185
133326763,133327126,133351136,133351325,133534537,133534651,133540330,133540495
134753877,134754334,134778357,134778546,134962141,134962256,134967930,134968095
136162365,136162769,136186791,136186980,136369836,136369950,136375625,136375789
137569681,137570137,137594159,137594348,137777943,137778057,137783734,137784014
1153281,1153739,1157171,1157344,1349124,1349353,1354624,1354785
1153317,1153754,1157186,1157334,1349124,1349353,1354624,1354785
5868656,5869109,5872542,5872746,6055984,6056234,6061616,6061777
5869968,5870338,5873749,5873953,6056984,6057234,6062616,6062777
5872680,5873133,5876566,5876770,6060005,6060255,6065637,6065798
7245520,7245890,7249321,7249524,7432533,7432732,7438168,7438329
7251561,7252014,7255447,7255650,7438884,7439083,7444519,7444680
8621231,8621684,8625116,8625320,8808554,8808727,8814188,8814349
11335680,11336135,11339571,11339776,11523005,11523180,11528639,11528802
30179804,30180250,30183604,30183826,30367148,30367336,30372832,30372995
31561657,31562111,31565547,31565753,31748919,31749031,31754710,31754872
65720862,65721316,65724751,65724956,65908126,65908239,65913920,65914083
67093245,67093597,67097022,67097227,67280216,67280416,67285851,67286014
68469905,68470356,68473791,68473940,68657575,68657775,68663209,68663372
69844209,69844520,69847950,69848156,70031129,70031329,70036763,70036926
71221581,71221930,71225364,71225570,71408297,71408409,71414086,71414249
72595320,72595735,72599169,72599353,72782995,72783195,72788630,72788793
94676001,94676360,94679774,94679980,94862818,94862931,94868609,94868772
94889775,94890184,94893618,94893791,95077250,95077363,95083039,95083202
96094899,96095378,96098811,96098989,96282756,96282944,96288441,96288603
